src,dst,spec,used_slot,tfk_slot
93,49,51,2,2
92,5,65,2,2
88,82,13,2,2
81,47,69,2,2
72,20,13,2,2
58,35,51,2,2
52,28,57,2,2
48,44,51,2,2
34,3,78,2,2
32,91,55,2,2
24,55,63,2,2
19,10,75,2,2
14,18,71,2,2
12,39,28,2,2
4,94,74,2,2
98,5,73,4,4
86,0,77,3,3
77,15,24,3,3
63,67,47,3,3
99,85,73,2,2
96,89,39,2,2
93,8,70,2,2
88,87,69,2,2
82,81,73,2,2
78,53,70,2,2
76,47,78,2,2
70,68,43,2,2
66,97,33,2,2
64,61,35,2,2
62,36,69,2,2
58,14,24,2,2
51,9,78,2,2
40,90,18,2,2
37,43,67,2,2
32,24,77,2,2
26,38,78,2,2
13,57,24,2,2
11,39,30,2,2
7,71,60,2,2
79,99,63,3,3
98,96,48,2,2
93,89,72,2,2
88,81,75,2,2
87,85,60,2,2
86,71,73,2,2
82,75,27,2,2
80,92,77,2,2
78,54,32,2,2
77,44,78,2,2
69,70,45,2,2
64,27,14,2,2
63,47,36,2,2
60,8,78,2,2
58,4,76,2,2
51,5,68,2,2
36,73,78,2,2
33,2,71,2,2
25,97,16,2,2
12,20,65,2,2
10,39,61,2,2
99,11,66,2,2
98,21,78,2,2
93,1,78,2,2
89,96,76,2,2
88,40,55,2,2
87,39,78,2,2
86,18,75,2,2
77,30,75,2,2
75,27,19,2,2
70,15,78,2,2
64,85,75,2,2
47,8,27,2,2
43,4,78,2,2
31,3,45,2,2
24,16,58,2,2
0,49,71,2,2
98,29,36,2,2
92,93,75,2,2
82,99,75,2,2
75,96,78,2,2
74,88,57,2,2
66,50,35,2,2
64,5,77,2,2
48,22,63,2,2
43,70,47,2,2
23,15,67,2,2
10,33,68,2,2
7,73,36,2,2
6,41,64,2,2
86,9,5,2,2
82,58,78,2,2
42,70,55,2,2
40,13,14,2,2
32,84,73,2,2
27,12,73,2,2
20,51,70,2,2
10,26,70,2,2
6,34,66,2,2
4,96,67,2,2
87,82,15,2,2
69,26,60,2,2
36,11,71,2,2
25,66,10,2,2
10,20,50,2,2
4,73,5,2,2
82,44,39,2,2
59,69,53,2,2
40,30,66,2,2
24,58,53,2,2
76,82,24,2,2
53,88,77,2,2
31,99,23,2,2
61,88,72,2,2
43,82,69,2,2
16,82,71,2,2
1,34,54,2,2
6,38,49,2,2
18,81,67,2,2
98,11,56,2,2
