src,dst,spec,core_src,core_dst,#core,used_slot,tfk_slot
34,63,0.0,1,1,1,2,1.0
34,67,48.0,1,2,1,11,10.0
34,73,23.0,2,0,1,7,6.0
34,75,2.0,2,2,1,19,18.0
35,6,0.0,0,2,1,15,14.0
35,15,40.0,2,0,1,21,20.0
36,5,26.0,1,0,1,7,6.0
36,11,0.0,1,0,1,2,1.0
36,41,3.0,2,0,1,2,1.0
36,42,26.0,2,0,1,13,12.0
36,52,42.0,2,0,1,19,18.0
36,54,5.0,2,1,1,16,15.0
36,55,37.0,1,0,1,10,9.0
36,59,39.0,2,1,1,2,1.0
36,67,61.0,2,1,1,15,14.0
36,70,74.0,1,0,1,6,5.0
36,73,0.0,2,1,1,3,2.0
36,76,48.0,1,1,1,18,17.0
36,77,59.0,0,1,1,5,4.0
36,94,43.0,0,1,1,16,15.0
36,96,24.0,0,0,1,19,18.0
37,31,33.0,0,0,1,11,10.0
37,43,76.0,0,1,1,2,1.0
37,48,50.0,0,1,1,7,6.0
37,91,13.0,2,2,1,13,12.0
38,3,47.0,1,1,2,5,8.0
38,15,40.0,1,1,2,7,12.0
38,18,12.0,1,1,1,24,23.0
38,39,2.0,2,0,1,8,7.0
38,40,69.0,1,0,1,11,10.0
38,53,78.0,2,1,1,2,1.0
38,90,60.0,1,2,1,9,8.0
39,31,50.0,0,1,1,13,12.0
40,13,40.0,1,1,1,2,1.0
40,15,27.0,1,0,1,13,12.0
40,19,23.0,0,2,1,17,16.0
40,24,6.0,0,2,1,9,8.0
40,30,23.0,1,2,1,2,1.0
40,44,42.0,2,0,1,25,24.0
40,57,0.0,0,0,1,6,5.0
40,61,59.0,1,1,1,8,7.0
40,67,2.0,1,0,1,21,20.0
40,68,15.0,0,1,1,7,6.0
40,76,24.0,2,0,1,5,4.0
40,84,40.0,0,1,1,6,5.0
40,85,18.0,2,0,1,2,1.0
40,90,40.0,2,1,1,2,1.0
40,98,49.0,1,0,1,6,5.0
41,3,68.0,2,2,1,12,11.0
41,8,50.0,1,0,1,4,3.0
41,18,0.0,2,2,1,25,24.0
41,22,12.0,0,0,1,12,11.0
41,45,21.0,1,2,1,24,23.0
41,86,26.0,0,1,1,26,25.0
42,1,0.0,0,1,1,9,8.0
42,25,48.0,0,0,1,13,12.0
42,70,61.0,2,2,1,2,1.0
42,95,19.0,2,2,1,15,14.0
43,3,34.0,1,2,1,13,12.0
43,4,16.0,2,1,1,4,3.0
43,10,22.0,1,2,1,7,6.0
43,14,20.0,2,0,1,17,16.0
43,23,0.0,0,0,1,12,11.0
43,29,59.0,1,0,1,12,11.0
43,31,63.0,0,0,1,2,1.0
43,32,22.0,0,0,1,11,10.0
43,41,0.0,2,1,1,16,15.0
43,42,62.0,2,0,1,18,17.0
43,52,11.0,1,0,1,11,10.0
43,58,4.0,1,1,1,7,6.0
43,70,30.0,1,0,1,4,3.0
43,82,37.0,2,2,1,2,1.0
43,97,13.0,0,0,1,9,8.0
43,99,78.0,0,0,1,2,1.0
44,15,10.0,2,2,1,10,9.0
44,54,43.0,2,2,1,2,1.0
45,1,50.0,1,1,2,10,17.0
45,14,11.0,1,0,1,4,3.0
45,19,22.0,1,0,1,3,2.0
45,33,0.0,0,1,2,6,9.0
45,57,15.0,1,1,2,6,10.0
45,58,70.0,0,1,1,3,2.0
45,61,67.0,1,0,2,7,11.0
45,66,77.0,1,1,1,3,2.0
46,33,14.0,0,0,3,2,3.0
46,82,31.0,0,1,1,18,17.0
47,5,78.0,2,2,1,2,1.0
47,7,73.0,0,1,1,7,6.0
47,8,4.0,0,2,1,2,1.0
47,15,6.0,0,2,1,3,2.0
47,17,4.0,2,0,1,17,16.0
47,25,11.0,0,1,1,13,12.0
47,28,50.0,2,1,1,5,4.0
47,36,66.0,0,1,1,7,6.0
47,98,25.0,1,2,1,9,8.0
48,1,20.0,0,0,1,21,20.0
48,3,75.0,1,0,1,5,4.0
48,22,49.0,2,0,1,2,1.0
48,34,66.0,1,0,1,2,1.0
48,39,0.0,2,2,1,22,21.0
48,41,52.0,2,0,1,9,8.0
48,44,63.0,2,1,1,3,2.0
48,60,0.0,1,0,1,21,20.0
48,63,72.0,0,0,1,8,7.0
48,68,41.0,0,1,1,23,22.0
48,74,0.0,0,0,1,20,19.0
48,80,64.0,0,2,1,7,6.0
48,81,21.0,1,1,1,3,2.0
49,21,0.0,2,2,1,8,7.0
49,90,39.0,2,2,1,21,20.0
50,14,77.0,2,1,1,3,2.0
50,16,4.0,0,2,1,7,6.0
50,17,25.0,1,0,1,7,6.0
50,23,32.0,1,2,1,17,16.0
50,26,14.0,2,0,1,15,14.0
50,29,5.0,1,0,1,18,17.0
50,30,0.0,2,0,1,11,10.0
50,71,69.0,0,1,1,9,8.0
50,76,29.0,2,0,1,14,13.0
50,78,11.0,0,0,1,22,21.0
50,97,64.0,1,0,1,14,13.0
51,1,16.0,2,2,1,11,10.0
51,5,58.0,2,2,1,2,1.0
51,9,15.0,1,0,1,2,1.0
51,22,17.0,1,1,1,13,12.0
51,27,52.0,1,0,2,6,9.0
51,32,58.0,1,0,1,9,8.0
51,35,15.0,0,0,1,18,17.0
51,38,30.0,1,2,1,9,8.0
51,40,67.0,1,2,1,13,12.0
51,41,47.0,2,1,1,2,1.0
51,43,65.0,0,0,1,11,10.0
51,48,39.0,1,1,1,11,10.0
51,53,78.0,0,0,1,2,1.0
51,61,3.0,2,2,1,13,12.0
51,67,0.0,0,2,1,13,12.0
51,69,2.0,1,2,1,6,5.0
51,84,39.0,0,0,1,25,24.0
51,93,60.0,2,1,1,7,6.0
51,97,28.0,2,2,1,17,16.0
52,28,20.0,2,2,1,2,1.0
52,57,51.0,2,0,1,16,15.0
53,0,0.0,0,1,2,2,1.0
53,13,24.0,1,1,1,13,12.0
53,35,55.0,1,0,1,19,18.0
53,56,10.0,0,2,1,2,1.0
53,57,7.0,2,0,1,4,3.0
53,61,12.0,0,0,2,6,10.0
53,63,11.0,2,2,1,19,18.0
53,73,70.0,0,1,1,8,7.0
53,80,43.0,0,2,1,21,20.0
53,83,30.0,2,2,1,16,15.0
53,88,0.0,2,1,1,3,2.0
53,92,52.0,1,0,1,3,2.0
53,98,46.0,2,1,1,15,14.0
54,20,26.0,0,1,1,17,16.0
54,55,23.0,1,2,1,11,10.0
54,60,50.0,1,0,1,19,18.0
54,69,53.0,2,2,1,21,20.0
54,83,65.0,0,0,1,3,2.0
54,98,34.0,1,2,1,13,12.0
55,95,52.0,2,2,1,2,1.0
56,9,40.0,0,1,1,18,17.0
56,16,0.0,1,0,1,8,7.0
56,18,78.0,2,2,1,2,1.0
56,25,0.0,2,1,1,10,9.0
56,69,67.0,1,0,1,13,12.0
56,73,30.0,2,0,1,15,14.0
56,96,8.0,1,0,1,15,14.0
57,21,45.0,0,0,1,6,5.0
57,22,2.0,1,1,2,12,21.0
57,26,28.0,2,2,1,6,5.0
57,28,38.0,2,2,1,26,25.0
57,52,67.0,2,2,1,11,10.0
57,58,24.0,1,1,2,4,6.0
57,68,38.0,1,0,1,4,3.0
57,72,27.0,0,0,1,15,14.0
57,74,71.0,1,0,1,9,8.0
57,81,15.0,0,1,1,6,5.0
57,88,64.0,2,2,1,3,2.0
58,4,11.0,2,0,1,2,1.0
58,8,57.0,2,2,1,23,22.0
58,14,2.0,1,2,1,2,1.0
58,35,45.0,0,0,1,2,1.0
58,40,0.0,0,2,1,17,16.0
58,45,26.0,0,1,1,17,16.0
58,50,48.0,1,0,1,10,9.0
58,68,13.0,2,0,1,2,1.0
58,69,60.0,0,0,1,2,1.0
58,80,15.0,2,2,1,9,8.0
58,92,0.0,2,2,1,11,10.0
59,39,64.0,2,2,1,9,8.0
59,47,24.0,1,0,1,11,10.0
59,61,41.0,0,0,2,5,8.0
59,66,50.0,1,1,1,11,10.0
59,68,67.0,0,1,1,13,12.0
59,79,15.0,0,2,1,13,12.0
59,85,48.0,2,0,1,16,15.0
59,92,61.0,1,2,1,11,10.0
60,8,78.0,2,0,1,2,1.0
60,14,38.0,2,0,1,9,8.0
60,35,13.0,1,2,1,9,8.0
60,40,0.0,1,1,1,2,1.0
60,46,66.0,1,2,1,7,6.0
60,50,49.0,2,1,1,8,7.0
60,68,19.0,2,0,1,19,18.0
60,69,31.0,1,2,1,22,21.0
60,72,2.0,1,2,1,3,2.0
60,82,23.0,1,2,1,8,7.0
60,83,53.0,1,0,1,12,11.0
61,2,18.0,1,0,1,9,8.0
61,22,0.0,2,0,1,2,1.0
61,88,46.0,0,0,1,2,1.0
62,36,76.0,2,2,1,2,1.0
62,55,78.0,1,1,2,2,1.0
62,78,34.0,2,2,1,2,1.0
63,4,65.0,2,0,1,15,14.0
63,11,49.0,2,0,1,15,14.0
63,12,16.0,1,1,1,12,11.0
63,19,0.0,0,1,1,13,12.0
63,47,9.0,2,0,1,2,1.0
63,48,58.0,0,1,1,7,6.0
63,59,28.0,0,0,1,13,12.0
63,66,16.0,0,1,1,12,11.0
63,67,65.0,0,2,1,7,6.0
63,80,77.0,1,1,1,3,2.0
63,83,46.0,0,0,1,7,6.0
63,89,75.0,1,1,1,2,1.0
63,93,28.0,1,0,1,17,16.0
63,97,0.0,2,0,1,2,1.0
64,4,21.0,1,0,1,10,9.0
64,5,78.0,1,0,1,2,1.0
64,15,61.0,1,0,2,7,12.0
64,18,15.0,2,0,1,21,20.0
64,19,41.0,1,1,2,4,6.0
64,27,68.0,1,1,1,4,3.0
64,28,68.0,2,2,1,12,11.0
64,29,45.0,1,1,2,4,5.0
64,36,4.0,1,0,1,17,16.0
64,39,31.0,1,0,1,10,9.0
64,48,26.0,0,2,1,23,22.0
64,58,49.0,2,0,1,11,10.0
64,61,0.0,1,0,1,2,1.0
64,77,0.0,0,2,1,19,18.0
64,85,2.0,2,2,1,3,2.0
64,89,52.0,1,1,1,2,1.0
64,93,7.0,2,2,1,8,7.0
65,3,2.0,2,2,1,2,1.0
65,12,74.0,0,2,1,2,1.0
65,33,36.0,2,2,1,24,23.0
65,70,13.0,1,2,1,30,29.0
66,7,2.0,2,1,1,14,13.0
66,8,28.0,0,1,1,19,18.0
66,15,50.0,2,2,1,30,29.0
66,18,66.0,0,1,1,6,5.0
66,27,30.0,1,0,1,12,11.0
66,47,0.0,1,1,1,16,15.0
66,50,62.0,0,1,1,2,1.0
66,52,61.0,1,0,1,2,1.0
66,56,37.0,2,1,1,13,12.0
66,65,16.0,2,0,1,21,20.0
66,67,42.0,1,0,1,8,7.0
66,70,63.0,1,0,1,10,9.0
66,97,28.0,1,0,1,2,1.0
67,10,26.0,1,0,1,19,18.0
67,33,76.0,1,1,2,4,6.0
67,73,45.0,1,0,2,3,4.0
67,77,50.0,0,2,1,4,3.0
68,35,53.0,2,0,1,2,1.0
68,54,21.0,2,2,1,22,21.0
68,70,0.0,1,2,1,13,12.0
69,4,62.0,0,1,1,5,4.0
69,13,8.0,2,2,1,16,15.0
69,22,42.0,1,0,1,7,6.0
69,26,58.0,1,1,1,2,1.0
69,29,77.0,1,0,1,3,2.0
69,33,33.0,0,0,1,27,26.0
69,45,60.0,1,0,1,10,9.0
69,54,72.0,1,1,1,3,2.0
69,61,2.0,1,0,1,2,1.0
69,67,23.0,1,0,1,19,18.0
69,70,11.0,1,1,1,3,2.0
69,83,14.0,1,0,1,9,8.0
69,86,0.0,1,2,1,2,1.0
69,96,4.0,1,2,1,7,6.0
70,15,77.0,2,0,1,3,2.0
70,21,41.0,0,1,1,8,7.0
70,29,23.0,0,0,2,2,1.0
70,31,0.0,0,0,1,23,22.0
70,49,61.0,1,2,1,17,16.0
70,54,45.0,2,2,1,8,7.0
70,66,49.0,0,0,1,6,5.0
70,68,43.0,2,2,1,2,1.0
70,82,43.0,1,2,1,2,1.0
70,99,55.0,0,0,3,6,13.0
71,13,56.0,0,1,1,7,6.0
71,54,2.0,0,0,1,14,13.0
71,62,0.0,2,2,1,5,4.0
71,81,24.0,0,2,1,18,17.0
72,0,2.0,0,2,1,8,7.0
72,37,78.0,2,0,1,2,1.0
72,39,48.0,1,1,1,13,12.0
72,53,37.0,1,1,1,11,10.0
72,55,26.0,1,0,1,11,10.0
72,57,0.0,0,2,1,2,1.0
72,58,65.0,0,0,1,15,14.0
72,60,22.0,2,0,1,28,27.0
72,80,10.0,0,0,1,17,16.0
72,83,5.0,2,1,1,17,16.0
72,97,54.0,0,0,1,10,9.0
73,12,0.0,2,2,1,27,26.0
73,19,60.0,1,1,2,2,1.0
73,29,31.0,2,2,1,7,6.0
73,30,62.0,2,2,1,18,17.0
73,31,63.0,0,1,1,17,16.0
73,36,3.0,1,1,1,8,7.0
73,87,49.0,0,2,1,9,8.0
73,93,55.0,1,0,2,5,8.0
74,9,26.0,0,1,1,2,1.0
74,58,29.0,0,1,2,12,21.0
74,61,41.0,0,2,1,18,17.0
74,78,63.0,2,1,1,11,10.0
74,88,59.0,0,1,1,4,3.0
75,0,18.0,0,0,1,2,1.0
75,11,52.0,2,2,1,2,1.0
75,15,20.0,0,1,1,11,10.0
75,23,54.0,1,2,1,21,20.0
75,27,73.0,0,2,1,2,1.0
75,38,10.0,1,2,1,13,12.0
75,41,29.0,2,2,1,11,10.0
75,54,75.0,0,0,3,5,12.0
75,82,48.0,0,0,1,6,5.0
75,88,0.0,0,0,1,2,1.0
75,96,0.0,2,0,1,2,1.0
76,6,0.0,2,1,1,23,22.0
76,9,27.0,2,0,1,15,14.0
76,13,4.0,0,1,1,16,15.0
76,22,43.0,0,2,1,2,1.0
76,25,0.0,1,0,1,23,22.0
76,38,43.0,1,0,1,5,4.0
76,44,29.0,1,0,1,12,11.0
76,47,2.0,0,0,1,2,1.0
76,48,66.0,1,2,1,14,13.0
76,65,62.0,0,2,1,18,17.0
76,71,42.0,2,1,1,23,22.0
76,74,0.0,0,2,1,2,1.0
76,81,20.0,0,2,1,4,3.0
76,82,25.0,2,1,1,2,1.0
76,86,65.0,2,1,1,15,14.0
76,94,47.0,0,0,1,15,14.0
77,14,63.0,2,1,1,14,13.0
77,15,47.0,1,1,1,6,5.0
77,22,24.0,2,2,1,17,16.0
77,23,22.0,1,1,1,15,14.0
77,29,53.0,1,0,1,6,5.0
77,30,19.0,1,0,1,3,2.0
77,38,41.0,1,0,1,2,1.0
77,41,41.0,2,2,1,9,8.0
77,44,20.0,2,2,1,4,3.0
77,62,39.0,1,1,1,2,1.0
77,63,2.0,1,1,1,14,13.0
77,73,11.0,0,1,1,7,6.0
77,79,64.0,1,0,1,16,15.0
78,5,59.0,1,0,1,2,1.0
78,35,74.0,1,0,2,6,10.0
78,43,33.0,0,0,1,22,21.0
78,53,63.0,0,2,1,2,1.0
78,54,69.0,2,1,1,3,2.0
78,67,55.0,0,1,1,5,4.0
78,68,42.0,2,0,1,27,26.0
