src,dst,spec,core_src,core_dst,#core,used_slot,tfk_slot
34,61,18.0,2,0,1,24,23.0
34,67,9.0,1,1,1,11,10.0
34,69,46.0,1,2,1,10,9.0
34,73,20.0,1,1,1,7,6.0
34,75,61.0,0,0,1,19,18.0
35,6,50.0,0,0,1,15,14.0
35,15,37.0,2,0,1,21,20.0
36,5,16.0,0,0,1,7,6.0
36,11,0.0,1,0,1,2,1.0
36,41,0.0,0,0,1,2,1.0
36,42,23.0,0,0,1,13,12.0
36,52,21.0,2,1,1,19,18.0
36,54,49.0,0,1,1,16,15.0
36,55,6.0,0,0,1,10,9.0
36,59,61.0,1,1,1,2,1.0
36,67,40.0,2,1,1,15,14.0
36,73,20.0,1,2,1,3,2.0
36,76,2.0,1,1,1,18,17.0
36,77,34.0,1,1,1,5,4.0
36,81,23.0,1,1,1,11,10.0
36,94,62.0,2,1,1,16,15.0
36,96,0.0,2,2,1,19,18.0
37,31,27.0,0,1,1,11,10.0
37,43,44.0,0,2,1,2,1.0
37,48,0.0,0,1,1,7,6.0
37,91,40.0,2,2,1,13,12.0
38,3,14.0,1,0,2,5,8.0
38,15,39.0,2,2,1,13,12.0
38,18,54.0,1,2,1,24,23.0
38,39,15.0,0,2,1,8,7.0
38,53,52.0,0,0,3,2,1.0
38,90,0.0,1,2,1,9,8.0
39,31,43.0,0,0,1,13,12.0
40,13,14.0,2,0,1,2,1.0
40,15,8.99999999999,0,0,1,13,12.0
40,19,42.0,2,2,1,17,16.0
40,24,63.0,2,0,1,9,8.0
40,30,45.0,1,0,1,2,1.0
40,44,29.0,0,1,1,25,24.0
40,57,39.0,1,0,1,6,5.0
40,61,72.0,2,1,1,8,7.0
40,67,0.0,1,0,1,21,20.0
40,68,22.0,0,0,1,7,6.0
40,76,62.0,0,2,1,5,4.0
40,79,23.0,2,1,1,16,15.0
40,84,2.99999999999,0,1,1,6,5.0
40,85,65.0,1,1,1,2,1.0
40,90,0.0,2,0,1,2,1.0
40,98,8.0,2,1,1,6,5.0
41,8,35.0,2,1,1,4,3.0
41,18,58.0,0,0,2,13,24.0
41,22,16.0,1,2,1,12,11.0
41,45,42.0,0,1,2,13,23.0
41,85,15.0,2,2,1,20,19.0
42,1,36.0,0,1,1,9,8.0
42,25,45.0,0,0,1,13,12.0
42,70,76.0,2,2,1,2,1.0
42,95,0.0,2,2,1,15,14.0
43,3,28.0,2,1,1,13,12.0
43,4,19.0,1,0,1,4,3.0
43,10,27.0,1,1,1,7,6.0
43,14,46.0,2,0,1,17,16.0
43,23,0.0,2,1,1,12,11.0
43,29,12.0,2,0,1,12,11.0
43,31,78.0,0,1,1,2,1.0
43,32,50.0,1,0,1,11,10.0
43,41,64.0,2,2,1,16,15.0
43,42,62.0,1,0,1,18,17.0
43,52,10.0,0,0,1,11,10.0
43,58,2.0,0,1,1,7,6.0
